,county,state,"Rates of Persons, aged 45 to 54, Living with HIV, 2020","Rates of Persons, aged 55+, Living with HIV, 2020",HIV aged 45+
287,Montezuma,Colorado,0.0,97.0,67.89999999999999
288,Montrose,Colorado,169.0,0.0,50.699999999999996
289,Morgan,Colorado,347.0,62.0,147.5
290,Otero,Colorado,0.0,97.0,67.89999999999999
291,Ouray,Colorado,0.0,0.0,
292,Park,Colorado,0.0,118.0,82.6
293,Phillips,Colorado,0.0,0.0,
294,Pitkin,Colorado,189.0,154.0,164.5
295,Prowers,Colorado,0.0,0.0,
296,Pueblo,Colorado,347.0,0.0,104.1
297,Rio Blanco,Colorado,0.0,0.0,
298,Rio Grande,Colorado,0.0,124.0,86.8
299,Routt,Colorado,252.0,0.0,75.6
300,Saguache,Colorado,0.0,166.0,116.19999999999999
301,San Juan,Colorado,0.0,0.0,
302,San Miguel,Colorado,0.0,0.0,
303,Sedgwick,Colorado,0.0,0.0,
304,Summit,Colorado,387.0,0.0,116.1
305,Teller,Colorado,0.0,70.0,49.0
306,Washington,Colorado,0.0,0.0,
307,Weld,Colorado,156.0,109.0,123.1
308,Yuma,Colorado,0.0,0.0,
309,Fairfield,Connecticut,520.0,465.0,481.5
310,Hartford,Connecticut,666.0,534.0,573.5999999999999
311,Litchfield,Connecticut,224.0,0.0,67.2
312,Middlesex,Connecticut,305.0,0.0,91.5
313,New Haven,Connecticut,736.0,612.0,649.1999999999999
314,New London,Connecticut,426.0,311.0,345.5
315,Tolland,Connecticut,211.0,0.0,63.3
316,Windham,Connecticut,357.0,255.0,285.6
317,Kent,Delaware,556.0,362.0,420.19999999999993
318,New Castle,Delaware,724.0,572.0,617.5999999999999
319,Sussex,Delaware,642.0,377.0,456.5
320,Alachua,Florida,768.0,563.0,624.5
321,Baker,Florida,822.0,0.0,246.6
322,Bay,Florida,562.0,295.0,375.1
323,Bradford,Florida,695.0,0.0,208.5
324,Brevard,Florida,538.0,314.0,381.2
325,Broward,Florida,1892.0,1499.0,1616.9
326,Calhoun,Florida,524.0,0.0,157.2
327,Charlotte,Florida,433.0,170.0,248.89999999999998
328,Citrus,Florida,373.0,0.0,111.89999999999999
329,Clay,Florida,374.0,206.0,256.4
330,Collier,Florida,554.0,254.0,344.0
331,Columbia,Florida,1055.0,465.0,642.0
332,DeSoto,Florida,1008.0,0.0,302.4
333,Dixie,Florida,581.0,0.0,174.29999999999998
334,Duval,Florida,1306.0,811.0,959.5
